player_name,position,projected_rank,avg_expert_rank,projected_fantasy_total,projected_fantasy_slope,overall_adp
Patrick Mahomes,QB,1,1.4,326.4585714285714,-4.390148110846078,16.0
Lamar Jackson,QB,2,1.6,320.9595918367347,-5.010584481844662,17.0
Dak Prescott,QB,3,3.5,316.08500000000004,-5.4565076395637595,45.0
Russell Wilson,QB,4,4.7,311.7825396825397,-5.693513261870419,55.0
Kyler Murray,QB,5,5.0,307.89028571428577,-5.796843263806913,58.0
Deshaun Watson,QB,6,5.1,304.42961038961045,-5.824588240475259,40.0
Josh Allen,QB,7,8.2,293.44467532467536,-5.916025209422619,75.0
Matt Ryan,QB,8,8.4,286.1851948051947,-5.993879955398142,76.0
Carson Wentz,QB,9,10.1,280.29506493506494,-6.020815322051685,90.0
Drew Brees,QB,10,10.4,274.9192207792208,-5.977905548996469,70.0
Tom Brady,QB,11,11.1,269.7519480519481,-5.845173553719016,77.0
Matthew Stafford,QB,12,12.1,264.6784415584416,-5.588403778040158,101.0
Aaron Rodgers,QB,13,13.6,259.2199999999999,-5.603733175914978,80.0
Cam Newton,QB,14,14.8,253.84181818181818,-5.733570247933889,151.0
Daniel Jones,QB,15,15.9,248.09272727272722,-5.940488783943321,108.0
Ben Roethlisberger,QB,16,16.0,242.00155844155842,-6.176203069657621,118.0
Jared Goff,QB,17,16.9,235.70545454545453,-6.436722550177088,121.0
Baker Mayfield,QB,18,18.8,229.15636363636364,-6.7137260920897175,111.0
Joe Burrow,QB,19,18.8,222.49090909090913,-6.996913813459265,142.0
Ryan Tannehill,QB,20,19.0,215.1244155844156,-7.318429752066101,129.0
Gardner Minshew II,QB,21,20.7,207.90779220779223,-7.657192443919713,177.0
Kirk Cousins,QB,22,22.7,200.1605194805195,-8.007100354191262,141.0
Jimmy Garoppolo,QB,23,23.0,191.9677922077922,-8.351792207792222,145.0
Philip Rivers,QB,24,24.3,183.83974025974027,-8.662970484061402,150.0
Drew Lock,QB,25,24.4,174.3742857142857,-8.92222668240852,176.0
Teddy Bridgewater,QB,26,24.8,165.00025974025974,-9.131454545454545,185.0
Derek Carr,QB,27,26.3,155.445974025974,-9.25900826446279,210.0
Sam Darnold,QB,28,26.9,145.80493506493505,-9.298115702479334,182.0
Tyrod Taylor,QB,29,28.4,136.42103896103893,-9.250080283352997,244.0
Dwayne Haskins,QB,30,30.0,127.01480519480523,-9.089612750885482,263.0
Ryan Fitzpatrick,QB,31,30.9,117.86000000000001,-8.828561983471069,236.0
Nick Foles,QB,32,32.5,108.86389610389611,-8.485879574970483,293.0
