player_name,position,projected_rank,avg_expert_rank,projected_fantasy_total,projected_fantasy_std,projected_fantasy_slope,overall_adp
Josh Allen,QB,0,1.11,305.28292794895,74.4838772591462,-10.448095343295034,24.0
Justin Herbert,QB,1,2.65,295.83831671093895,58.97222501031029,-8.505868291272286,37.0
Patrick Mahomes II,QB,2,3.56,288.14840181848416,63.761588872577164,-6.932086130907637,35.0
Lamar Jackson,QB,3,4.25,281.8642095784203,63.32107116381824,-5.688182914454376,51.0
Kyler Murray,QB,4,5.47,276.67421247807783,80.70817434573911,-4.737822648201794,56.0
Jalen Hurts,QB,5,5.94,272.3021279726443,78.60120649342618,-4.046841809681305,65.0
Joe Burrow,QB,6,7.6,268.50477475531864,86.60237020364333,-3.5831918648725596,53.0
Tom Brady,QB,7,8.82,265.06998651026015,69.98515358750501,-3.3168817854095636,82.0
Russell Wilson,QB,8,9.1,261.8145831483313,61.04446482869862,-3.2199205657867935,74.0
Dak Prescott,QB,9,9.46,258.5823995256336,48.94974275270051,-3.266259740565319,75.0
Trey Lance,QB,10,11.12,255.24237164483867,79.58827798949626,-3.4317359015789215,99.0
Matthew Stafford,QB,11,11.87,251.68668033931192,86.78679321955232,-3.694013215140199,90.0
Aaron Rodgers,QB,12,12.43,247.8289524400309,106.47670417305166,-4.0325259392467,94.0
Kirk Cousins,QB,13,13.89,243.6025194252972,87.80387829703194,-4.428420940787021,113.0
Derek Carr,QB,14,14.15,238.95873355324255,81.38077391292532,-4.864500212746957,106.0
Tua Tagovailoa,QB,15,17.08,233.8653414771283,62.80937079413832,-5.325163391415568,125.0
Justin Fields,QB,16,17.61,228.30491534343923,82.00654476862739,-5.796350273591354,138.0
Trevor Lawrence,QB,17,18.5,222.273341372771,81.76304848904682,-6.265483333788328,162.0
Jameis Winston,QB,18,20.0,215.7783659235117,82.6959548359061,-6.721410241442154,178.0
Matt Ryan,QB,19,20.22,208.83819903831693,67.35721373559198,-7.154346378116262,168.0
Ryan Tannehill,QB,20,21.77,201.4801754733793,74.8859313326312,-7.5558173547079654,173.0
Daniel Jones,QB,21,23.08,193.73947321049107,69.14060309253891,-7.91860152865458,246.0
Mac Jones,QB,22,23.13,185.65788945190127,67.1644934636019,-8.2366725211395,167.0
Carson Wentz,QB,23,25.0,177.2826740979669,84.55395416471596,-8.505141734298409,205.0
Jared Goff,QB,24,25.36,168.66542070759695,84.52768251617664,-8.720200868425326,204.0
Zach Wilson,QB,25,25.43,159.8610149414916,85.25242117122279,-8.87906443917873,206.0
Baker Mayfield,QB,26,26.44,150.92664048817397,79.62542046356805,-8.979912294787628,201.0
Davis Mills,QB,27,26.78,141.92084247281775,86.14721147482888,-9.02183213325787,244.0
Mitch Trubisky,QB,28,29.84,132.9026483488658,84.29460678411692,-9.00476201957802,291.0
Marcus Mariota,QB,29,28.93,123.93074627244613,79.37196034424807,-8.929432902925587,293.0
Deshaun Watson,QB,30,28.25,115.06272095957706,81.07289538570966,-8.79731113387312,157.0
Drew Lock,QB,31,33.64,106.35434702617306,75.37907768664252,-8.610540981594436,365.0
Kenny Pickett,QB,32,33.67,97.85893981083694,84.96298473779953,-8.371887151070563,286.0
Jimmy Garoppolo,QB,33,35.26,89.62676368045118,81.3147105346464,-8.084677300295919,279.0
Sam Darnold,QB,34,37.61,81.70449781856212,87.28108305672859,-7.752744557484558,379.0
Jonathan Taylor,RB,0,1.37,198.89288285805762,120.830836478111,-5.928934960246466,1.0
Christian McCaffrey,RB,1,2.26,193.09960048682103,115.90180374207586,-5.659402276740117,3.0
Austin Ekeler,RB,2,3.9,187.5705673091768,111.94671547759773,-5.4004025794355455,2.0
Dalvin Cook,RB,3,4.62,182.2953523198017,104.72235507070855,-5.151731906575607,7.0
Derrick Henry,RB,4,4.94,177.26372847512974,105.07454640714214,-4.913186296403157,4.0
Najee Harris,RB,5,6.55,172.46567269335196,91.6487240621615,-4.684561787161049,8.0
Joe Mixon,RB,6,7.3,167.8913658544166,97.96317499732007,-4.465654417092138,10.0
D'Andre Swift,RB,7,8.57,163.531192800029,101.00693947557377,-4.256260224439281,15.0
Alvin Kamara,RB,8,10.12,159.37574233365171,98.49379450277847,-4.0561752474453305,19.0
Saquon Barkley,RB,9,10.32,155.4158072205044,90.7254860677099,-3.865195524353142,21.0
Aaron Jones,RB,10,10.62,151.6423841875639,87.7647755841336,-3.683117093405571,17.0
Nick Chubb,RB,11,12.15,148.04667392356413,94.63287469420385,-3.5097359928454726,13.0
Leonard Fournette,RB,12,12.27,144.62008107899618,88.1291053675736,-3.3448482609157004,23.0
Javonte Williams,RB,13,13.05,141.35421426610833,71.98642343911493,-3.18824993585911,20.0
James Conner,RB,14,15.68,138.24088605890594,70.0774114818748,-3.0397370559185575,31.0
Ezekiel Elliott,RB,15,16.2,135.27211299315158,71.7115401374764,-2.899105659336895,29.0
Breece Hall,RB,16,18.43,132.4401155663649,78.00799503184842,-2.76615178435698,41.0
Travis Etienne Jr.,RB,17,19.43,129.73731823782276,74.662010345884,-2.640671469221667,45.0
Cam Akers,RB,18,19.44,127.15634942855908,72.66351626198362,-2.522460752173809,32.0
David Montgomery,RB,19,19.65,124.69004152136503,63.736449505409034,-2.411315671456263,33.0
J.K. Dobbins,RB,20,22.29,122.33143086078883,63.62525124159084,-2.307032265311883,52.0
Elijah Mitchell,RB,21,22.4,120.07375775313592,67.26640766385552,-2.2094065719835245,47.0
AJ Dillon,RB,22,23.35,117.91046646646882,71.01674919810584,-2.1182346297140415,55.0
Josh Jacobs,RB,23,24.02,115.83520523060724,72.01311770936057,-2.033312476746289,46.0
Antonio Gibson,RB,24,25.19,113.84182623712805,66.43499044596572,-1.9544361513231228,38.0
Damien Harris,RB,25,28.64,111.9243856393652,67.06859250051397,-1.8814016916873975,60.0
Miles Sanders,RB,26,28.73,110.07714355240982,67.6033368670183,-1.814005136081966,71.0
Clyde Edwards-Helaire,RB,27,28.91,108.29456405311021,64.0769926642074,-1.7520425227496874,62.0
Chase Edmonds,RB,28,29.31,106.57131518007178,64.50842701194593,-1.6953098899334131,87.0
Kareem Hunt,RB,29,30.4,104.9022689336571,61.57394732262086,-1.6436032758759973,79.0
Rashaad Penny,RB,30,30.44,103.28250127598588,64.51006476167541,-1.5967187188202976,80.0
Tony Pollard,RB,31,31.47,101.70729213093497,65.69230666946895,-1.554452257009169,83.0
Rhamondre Stevenson,RB,32,32.41,100.17212538413841,60.046943580280036,-1.5165999286854648,95.0
Devin Singletary,RB,33,33.45,98.6726888829873,62.30699777356919,-1.4829577720920408,78.0
Cordarrelle Patterson,RB,34,33.86,97.20487443662992,67.31583797789838,-1.4533218254717513,86.0
Melvin Gordon III,RB,35,34.97,95.7647778159718,73.51090929167512,-1.4274881270674493,93.0
Ken Walker III,RB,36,35.99,94.34869875367542,66.46263954700832,-1.4052527151219936,89.0
Dameon Pierce,RB,37,39.41,92.95314094416057,69.4625881720193,-1.3864116278782372,118.0
James Cook,RB,38,39.62,91.5748120436041,71.2634508940827,-1.3707609035790354,101.0
Darrell Henderson Jr.,RB,39,42.18,90.21062366994005,77.1696719357201,-1.358096580467243,115.0
Michael Carter,RB,40,42.33,88.85769140285953,61.85717788224383,-1.3482146967857132,103.0
James Robinson,RB,41,44.77,87.5133347838109,54.01882840475368,-1.3409112907773038,107.0
Alexander Mattison,RB,42,45.2,86.1750773159996,55.44974511513405,-1.3359824006848688,111.0
Nyheim Hines,RB,43,45.37,84.84064646438824,57.102524657165745,-1.3332240647512608,124.0
Kenneth Gainwell,RB,44,46.98,83.50797365569647,65.13751402481779,-1.3324323212193363,139.0
J.D. McKissic,RB,45,49.84,82.17519427840136,58.141999449623334,-1.3334032083319522,145.0
Jamaal Williams,RB,46,50.22,80.8406476827368,56.12257230582203,-1.33593276433196,158.0
Khalil Herbert,RB,47,50.89,79.50287718069401,48.501210179632515,-1.3398170274622148,188.0
Isaiah Spiller,RB,48,49.88,78.16063004602134,52.59997211659591,-1.3448520359655758,123.0
Raheem Mostert,RB,49,51.54,76.81285751422419,57.69494335631927,-1.3508338280848937,126.0
Tyler Allgeier,RB,50,50.99,75.45871478256527,59.15324016672478,-1.3575584420630262,140.0
Brian Robinson Jr.,RB,51,54.23,74.09756101006425,52.7297849627914,-1.3648219161428239,160.0
Gus Edwards,RB,52,57.63,72.7289593174981,62.823189366843046,-1.3724202885671444,164.0
Rachaad White,RB,53,53.0,71.35267678740084,63.81572263600526,-1.3801495975788454,130.0
Marlon Mack,RB,54,56.84,69.96868446406367,64.77763194189797,-1.3878058814207792,135.0
Mark Ingram II,RB,55,59.46,68.57715735353494,45.51410575000043,-1.3951851783357982,153.0
Ronald Jones II,RB,56,55.68,67.17847442362009,39.57232929993157,-1.4020835265667602,112.0
Darrel Williams,RB,57,58.31,65.77321860388182,41.48365666942425,-1.4082969643565173,170.0
D'Onta Foreman,RB,58,60.1,64.36217678563983,50.74639485388757,-1.4136215299479291,179.0
Sony Michel,RB,59,57.04,62.94633982197112,62.64492574999369,-1.4178532615838515,176.0
Zamir White,RB,60,63.36,61.52690252770972,61.8943534491547,-1.4207881975071261,190.0
Kenyan Drake,RB,61,66.61,60.10526367944672,60.14881591150033,-1.4222223759606267,209.0
Chuba Hubbard,RB,62,68.33,58.683026015530714,48.69653022090543,-1.4219518351871967,211.0
Boston Scott,RB,63,66.18,57.261996236067176,49.90274808732148,-1.4197726134296955,295.0
Samaje Perine,RB,64,68.16,55.84418500291841,52.851078408003076,-1.4154807489309702,243.0
Damien Williams,RB,65,68.88,54.431806939704614,50.03403075241224,-1.4088722799338838,257.0
